"Date","Brighton..366..Snow.Water.Equivalent..in.","Brighton..366..Snow.Depth..in.","Brighton..366..Precipitation.Accumulation..in.","Brighton..366..Air.Temperature.Observed..degF."
"2025-01-01 00:00",6.8,32,9.5,8.1
"2025-01-01 01:00",6.7,32,9.5,8.1
"2025-01-01 02:00",6.8,32,9.5,8.6
"2025-01-01 03:00",6.8,32,9.5,7.3
"2025-01-01 04:00",6.8,32,9.5,11.1
"2025-01-01 05:00",6.8,32,9.6,14.4
"2025-01-01 06:00",6.8,32,9.6,18.3
"2025-01-01 07:00",6.8,32,9.6,18.9
"2025-01-01 08:00",6.8,32,9.6,22.1
"2025-01-01 09:00",6.8,31,9.6,23.7
"2025-01-01 10:00",6.9,31,9.6,24.8
"2025-01-01 11:00",7,31,9.6,25.5
"2025-01-01 12:00",7,31,9.6,25.7
"2025-01-01 13:00",7,31,9.6,25.7
"2025-01-01 14:00",7,31,9.6,25.2
"2025-01-01 15:00",7,31,9.6,24.6
"2025-01-01 16:00",7.1,32,9.7,24.6
"2025-01-01 17:00",7.1,32,9.7,25
"2025-01-01 18:00",7.2,33,9.7,26.4
"2025-01-01 19:00",7.1,33,9.8,26.6
"2025-01-01 20:00",7.2,32,9.8,27
"2025-01-01 21:00",7.2,33,9.9,27.1
"2025-01-01 22:00",7.3,33,9.9,28.2
"2025-01-01 23:00",7.3,33,10,27.3
"2025-01-02 00:00",7.4,34,10,27.1
"2025-01-02 01:00",7.5,34,10.2,27.3
"2025-01-02 02:00",7.6,35,10.3,29.1
"2025-01-02 03:00",7.7,35,10.3,28.2
"2025-01-02 04:00",7.7,35,10.3,27.9
"2025-01-02 05:00",7.8,36,10.4,27.5
"2025-01-02 06:00",7.8,36,10.4,27
"2025-01-02 07:00",7.8,36,10.4,28.8
"2025-01-02 08:00",7.8,36,10.4,29.7
"2025-01-02 09:00",7.8,36,10.5,28.8
"2025-01-02 10:00",7.9,36,10.5,30.2
"2025-01-02 11:00",7.9,36,10.5,29.7
"2025-01-02 12:00",7.9,36,10.5,30.2
"2025-01-02 13:00",7.9,36,10.5,30.2
"2025-01-02 14:00",7.9,35,10.5,30.2
"2025-01-02 15:00",7.9,35,10.5,29.1
"2025-01-02 16:00",7.9,35,10.5,27.1
"2025-01-02 17:00",7.9,35,10.5,26.4
"2025-01-02 18:00",7.8,35,10.5,26.6
"2025-01-02 19:00",7.8,35,10.5,26.8
"2025-01-02 20:00",7.8,35,10.5,24.4
"2025-01-02 21:00",7.8,35,10.4,24.8
"2025-01-02 22:00",7.8,35,10.4,27.3
"2025-01-02 23:00",7.8,35,10.4,32
