"names","elevation_ft"
"Bear River RS",8777
"Burts Miller Ranch",8000
"Hayden Fork",9130
"Lily Lake",9133
"Monte Cristo",8932
"Dry Bread Pond",8302
"Klondike Narrows",7250
"Little Bear",6548
"Powder Mountain",8505
"Temple Fork",7406
"Tony Grove Lake",8474
"Tony Grove RS",6332
"East Willow Creek",8302
"George Creek",8964
"Santaquin Meadows",7835
"Lonesome Beaver",9410
"Mt Pennell",9209
"Agua Canyon",8900
"Box Creek",9853
"Box Springs",9228
"Clayton Springs",10049
"Jones Corral",9749
"Widtsoe #3",9640
"Hickerson Park",9122
"Hole-in-Rock",9168
"Spirit Lk",10235
"Bevans Cabin",6520
"Mining Fork",8295
"Rocky Basin-Settleme",8704
"Vernon Creek",7401
"Clear Creek #1",8975
"Clear Creek #2",7837
"Hobble Creek",7377
"Payson R.S.",8044
"Currant Creek",7915
"Daniels-Strawberry",8008
"Strawberry Divide",8123
"Wilbur Bench",9171
"Dills Camp",9228
"Brown Duck",10574
"Chepeta",10499
"Five Points Lake",10943
"Lakefork #1",10128
"Lakefork #3",8464
"Lakefork Basin",10885
"Rock Creek",7886
"Buckboard Flat",8924
"Bobs Hollow",9319
"Oak Creek",7850
"Pine Creek",8734
"Rees Flat",7206
"Gardner Peak",8322
"Kolob",9263
"Long Valley Jct",7465
"Webster Flat",9203
"Camp Jackson",8858
"Takka Wiiya",9122
"Buck Flat",9409
"Red Pine Ridge",8988
"Seeley Creek",9904
"Upper Joes Valley",8596
"Wrigley Creek",9327
"Farnsworth Lake",9623
"Gooseberry RS",7944
"Gooseberry RS Up",8396
"Kimberly Mine",9101
"Pickle Keg",9020
"Rockwood GS",8593
"Blacks Fork Jct",8869
"Buck Pasture",9632
"EF Blacks Fork GS",9360
"Hewinta",9500
"Steel Creek Park",10158
"Chalk Creek #1",9171
"Chalk Creek #2",8208
"Horse Ridge",8199
"Kilfoil Creek",7220
"Lost Creek Resv",6082
"Redden Mine Lwr",8532
"Smith  Morehouse",7631
"Ben Lomond Peak",7689
"Ben Lomond Trail",5972
"Farmington",7902
"Farmington Lower",6779
"Hardscrabble",7250
"Lightning Ridge",8215
"Parleys Summit",7585
"Parrish Creek",7740
"Thaynes Canyon",9230
"Castle Valley",9607
"Harris Flat",7792
"Midway Valley",9827
"Panguitch Lake RS",8350
"Brian Head",10039
"Little Grassy",6065
"Long Flat",7982
"Suu Ranch",8050
"Yankee Reservoir",8692
"Black Flat-U.M. Ck",9414
"Donkey Reservoir",9799
"Fish Lake Utah",8798
"Sunflower Flat",10018
"Gold Basin",10076
"Lasal Mountain",9578
"Lasal Mountain-Lower",8783
"Atwater",8753
"Brighton",8766
"Dry Fork",7093
"Lookout Peak",8161
"Louis Meadow",6700
"Mill-D North",8963
"Parleys Upper",8353
"Snowbird",9177
"Big Flat",10349
"Merchant Valley",8705
"Corral",8207
"Huntington Horse",9652
"Timberline",8736
"White River #1",8641
"Gutz Peak",6763
"Kings Cabin",8728
"Mosby Mtn.",9553
"Trout Creek",9518
"Bug Lake",7987
"Garden City Summit",7705
"Usu Doc Daniel",8270
"Beaver Divide",8280
"Cascade Mountain",7774
"Timpanogos Divide",8140
"Trial Lake",9992
"Wolf Creek Peak",9796
"Beaver Dams",7990
"GBRC HQ",8801
"GBRC Meadows",9858
"Mammoth-Cottonwood",8709
"Mt Baldy",9524
"Thistle Flat",8787
