"Longitude","Latitude","Station.Name","Elevation..ft."
-112.27118,37.52217,"Agua Canyon",8900
-111.63775,40.59124,"Atwater",8753
-110.8277,40.8852,"Bear River RS",8777
-111.55813,39.13683,"Beaver Dams",7990
-111.09782,40.61233,"Beaver Divide",8280
-111.94405,41.37603,"Ben Lomond Peak",7689
-111.92103,41.38291,"Ben Lomond Trail",5972
-112.25233,40.46182,"Bevans Cabin",6520
-112.35672,38.30183,"Big Flat",10349
-111.59765,38.6799,"Black Flat-U.M.",9414
-110.5828,40.95814,"Blacks Fork Jct",8869
-112.15349,38.94569,"Bobs Hollow",9319
-112.01856,38.50809,"Box Creek",9853
-112.00779,38.49746,"Box Springs",9228
-112.85674,37.67994,"Brian Head",10039
-111.58167,40.59936,"Brighton",8766
-110.58587,40.58102,"Brown Duck",10574
-111.43722,39.134,"Buck Flat",9409
-110.66068,40.84456,"Buck Pasture",9632
-109.44717,37.86943,"Buckboard Flat",8924
-111.41987,41.68541,"Bug Lake",7987
-110.85075,40.98492,"Burts Miller Ranch",8000
-109.48723,37.81333,"Camp Jackson",8858
-111.60992,40.283,"Cascade Mountain",7774
-112.74093,37.66098,"Castle Valley",9607
-111.04765,40.85464,"Chalk Creek #1",9171
-110.0105,40.77458,"Chepeta",10499
-111.83355,37.9725,"Clayton Springs",10049
-111.28363,39.86671,"Clear Creek #1",8975
-110.37906,39.65795,"Corral",8207
-111.08993,40.35747,"Currant Creek",7915
-111.25677,40.2953,"Daniels-Strawberry",8008
-111.46875,39.04554,"Dills Camp",9228
-111.47412,38.2084,"Donkey Reservoir",9799
-111.5377,41.41289,"Dry Bread Pond",8302
-112.17343,40.56533,"Dry Fork",7093
-109.53179,39.31213,"East Willow Creek",8302
-110.54056,40.88472,"EF Blacks Fork GS",9360
-111.80975,40.97462,"Farmington",7902
-111.81702,40.992,"Farmington Lower",6779
-111.67662,38.77246,"Farnsworth Lake",9623
-111.76693,38.50455,"Fish Lake Utah",8798
-110.46721,40.71785,"Five Points Lake",10943
-111.4693,41.9215,"Garden City Summit",7705
-113.45988,37.40083,"Gardner Peak",8322
-111.48827,39.32019,"GBRC HQ",8801
-111.45383,39.30229,"GBRC Meadows",9858
-113.41154,41.91562,"George Creek",8964
-109.26332,38.46516,"Gold Basin",10076
-111.68333,38.80034,"Gooseberry RS",7944
-111.68892,38.7882,"Gooseberry RS Up",8396
-113.94235,37.49617,"Gutz Peak",6763
-111.71865,40.86833,"Hardscrabble",7250
-112.57602,37.48997,"Harris Flat",7792
-110.88472,40.79669,"Hayden Fork",9130
-110.48419,40.95009,"Hewinta",9500
-109.96287,40.90663,"Hickerson Park",9122
