"State or 
			possession","Highest point","County or 
			subdivision","Elevation
			feet","Lowest Point","County or 
			subdivision","Elevation
			feet"
"Alabama","Cheaha Mountain","Cleburne","2,407","Gulf of Mexico","- -","Sea Level"
"Alaska","Denali","- -","20,320","Pacific Ocean","- -","Sea Level"
"Arizona","Humphreys Peak","Coconino","12,633","Colorado River","Yuma","70"
"Arkansas","Magazine Mountain","Logan","2,753","Ouachita River","Ashley-Union","55"
"California","Mount Whitney","Inyo-Tulare","{1}14,494","Death Valley","Inyo","-282"
"Colorado","Mount Elbert","Lake","14,433","Arikaree River","Yuma","3,315"
"Connecticut","Mount Frissel on south
			slope at State line","Litchfield","2,380","Long Island Sound","- -","Sea Level"
"Delaware","On Ebright Road at
			Delaware-Pennsylvania
			State line","New Castle","{1}448","Atlantic Ocean","- -","Sea level"
"District of Columbia","Tenleytown at
			Reno Reservoir","- -","410","Potomac River","- -","1"
"Florida","Britton Hill","Walton","345","Atlantic Ocean","- -","Sea level"
"Georgia","Brasstown Bald","Towns-Union","4,784","Atlantic Ocean","- -","Sea level"
"Guam","Mount Lamlam","Agat District","1,332","Pacific Ocean","- -","Sea level"
"Hawaii","Pu'u Wēkiu, Mauna Kea","Hawaii","13,796","Pacific Ocean","- -","Sea level"
"Idaho","Borah Peak","Custer","12,662","Snake River","Nez Perce","710"
"Illinois","Charles Mound","Jo Daviess","1,235","Mississippi River","Alexander","{2}279"
"Indiana","Hoosier Hill","Wayne","1,257","Ohio River","Posey","{2}320"
"Iowa","Hawkeye Point","Osceola","1,670","Mississippi River","Lee","480"
"Kansas","Mount Sunflower","Wallace","4,039","Verdigris River","Montgomery","679"
"Kentucky","Black Mountain","Harlan","4,145","Mississippi River","Fulton","{2}257"
"Louisiana","Driskill Mountain","Bienville","535","New Orleans","Orleans","-8"
"Maine","Mount Katahdin","Piscataquis","5,268","Atlantic Ocean","- -","Sea level"
"Maryland","Hoye Crest","Garrett","3,360","Atlantic Ocean","- -","Sea level"
"Massachusetts","Mount Greylock","Berkshire","3,491","Atlantic Ocean","- -","Sea level"
"Michigan","Mount Arvon","Baraga","1,979","Lake Erie","- -","{2}571"
"Minnesota","Eagle Mountain","Cook","2,301","Lake Superior","- -","{2}601"
"Mississippi","Woodall Mountain","Tishomingo","806","Gulf of Mexico","- -","Sea level"
"Missouri","Taum Sauk Mountain","Iron","1,772","Saint Francis River","Dunklin","{2}230"
"Montana","Granite Peak","Park","12,799","Kootenai River","Lincoln","1,800"
"Nebraska","Panorama Point","Kimball","5,424","Missouri River","Richardson","840"
"Nevada","Boundary Peak","Esmeralda","13,140","Colorado River","Clark","479"
"New Hampshire","Mount Washington","Coos","6,288","Atlantic Ocean","- -","Sea level"
"New Jersey","High Point","Sussex","{3}1,803","Atlantic Ocean","- -","Sea level"
"New Mexico","Wheeler Peak","Taos","13,161","Red Bluff Reservoir","Eddy","2,842"
"New York","Mount Marcy","Essex","5,344","Atlantic Ocean","- -","Sea level"
"North Carolina","Mount Mitchell","Yancey","6,684","Atlantic Ocean","- -","Sea level"
"North Dakota","White Butte","Slope","3,506","Red River of the North","Pembina","750"
"Ohio","Campbell Hill","Logan","1,550","Ohio River","Hamilton","{2}455"
"Oklahoma","Black Mesa","Cimarron","4,973","Little River","McCurtain","289"
"Oregon","Mount Hood","Clackamas-
			Hood River","11,239","Pacific Ocean","- -","Sea level"
"Pennsylvania","Mount Davis","Somerset","3,213","Delaware River","Delaware","Sea level"
"Puerto Rico","Cerro de Punta","Ponce District","4,390","Atlantic Ocean","- -","Sea Level"
"Rhode Island","Jerimoth Hill","Providence","812","Atlantic Ocean","- -","Sea level"
"Samoa","Lata Mountain","Tau Island","3,160","Pacific Ocean","- -","Sea level"
"South Carolina","Sassafras Mountain","Pickens","3,560","Atlantic Ocean","- -","Sea level"
"South Dakota","Harney Peak","Pennington","7,242","Big Stone Lake","Roberts","966"
"Tennessee","Clingmans Dome","Sevier","6,643","Mississippi River","Shelby","{2}178"
"Texas","Guadalupe Peak","Culberson","8,749","Gulf of Mexico","- -","Sea level"
"Utah","Kings Peak","Duchesne","13,528","Beaverdam Wash","Washington","2,000"
"Vermont","Mount Mansfield","Chittenden","4,393","Lake Champlain","- -","95"
"Virginia","Mount Rogers","Grayson-Smyth","5,729","Atlantic Ocean","- -","Sea level"
"Virgin Islands","Crown Mountain","Saint Thomas Island","1,556","Atlantic Ocean","- -","Sea level"
"Washington","Mount Rainier","Pierce","14,411","Pacific Ocean","- -","Sea level"
"West Virginia","Spruce Knob","Pendleton","4,863","Potomac River","Jefferson","240"
"Wisconsin","Timms Hill","Price","1,951","Lake Michigan","- -","{2}579"
"Wyoming","Gannett Peak","Fremont","13,804","Belle Fourche River","Crook","3,099"
"United States","Denali","Alaska","20,320","Death Valley","Inyo, CA","-282"
