U.S. Department of Commerce,,,,,
U.S. Census Bureau,,,,,
"Change in Resident Population of the 50 States, the District of Columbia, and Puerto Rico: 1990 to 2020",,,,,
Area,2020 Census,2010 Census,2000 Census,1990 Census,
,Resident Population 2020 Census,Resident Population 2010 Census,Resident Population 2000 Census,Resident Population 1990 Census,Resident Population 1980 Census
Alabama,"5,024,279","4,779,736","4,447,100","4,040,587","3,893,888"
Alaska,"733,391","710,231","626,932","550,043","401,851"
Arizona,"7,151,502","6,392,017","5,130,632","3,665,228","2,718,215"
Arkansas,"3,011,524","2,915,918","2,673,400","2,350,725","2,286,435"
California,"39,538,223","37,253,956","33,871,648","29,760,021","23,667,902"
Colorado,"5,773,714","5,029,196","4,301,261","3,294,394","2,889,964"
Connecticut,"3,605,944","3,574,097","3,405,565","3,287,116","3,107,576"
Delaware,"989,948","897,934","783,600","666,168","594,338"
District of Columbia,"689,545","601,723","572,059","606,900","638,333"
Florida,"21,538,187","18,801,310","15,982,378","12,937,926","9,746,324"
Georgia,"10,711,908","9,687,653","8,186,453","6,478,216","5,463,105"
Hawaii,"1,455,271","1,360,301","1,211,537","1,108,229","964,691"
Idaho,"1,839,106","1,567,582","1,293,953","1,006,749","943,935"
Illinois,"12,812,508","12,830,632","12,419,293","11,430,602","11,426,518"
Indiana,"6,785,528","6,483,802","6,080,485","5,544,159","5,490,224"
Iowa,"3,190,369","3,046,355","2,926,324","2,776,755","2,913,808"
Kansas,"2,937,880","2,853,118","2,688,418","2,477,574","2,363,679"
Kentucky,"4,505,836","4,339,367","4,041,769","3,685,296","3,660,777"
Louisiana,"4,657,757","4,533,372","4,468,976","4,219,973","4,205,900"
Maine,"1,362,359","1,328,361","1,274,923","1,227,928","1,124,660"
Maryland,"6,177,224","5,773,552","5,296,486","4,781,468","4,216,975"
Massachusetts,"7,029,917","6,547,629","6,349,097","6,016,425","5,737,037"
Michigan,"10,077,331","9,883,640","9,938,444","9,295,297","9,262,078"
Minnesota,"5,706,494","5,303,925","4,919,479","4,375,099","4,075,970"
Mississippi,"2,961,279","2,967,297","2,844,658","2,573,216","2,520,638"
Missouri,"6,154,913","5,988,927","5,595,211","5,117,073","4,916,686"
Montana,"1,084,225","989,415","902,195","799,065","786,690"
Nebraska,"1,961,504","1,826,341","1,711,263","1,578,385","1,569,825"
Nevada,"3,104,614","2,700,551","1,998,257","1,201,833","800,493"
New Hampshire,"1,377,529","1,316,470","1,235,786","1,109,252","920,610"
New Jersey,"9,288,994","8,791,894","8,414,350","7,730,188","7,364,823"
New Mexico,"2,117,522","2,059,179","1,819,046","1,515,069","1,302,894"
New York,"20,201,249","19,378,102","18,976,457","17,990,455","17,558,072"
North Carolina,"10,439,388","9,535,483","8,049,313","6,628,637","5,881,766"
North Dakota,"779,094","672,591","642,200","638,800","652,717"
Ohio,"11,799,448","11,536,504","11,353,140","10,847,115","10,797,630"
Oklahoma,"3,959,353","3,751,351","3,450,654","3,145,585","3,025,290"
Oregon,"4,237,256","3,831,074","3,421,399","2,842,321","2,633,105"
Pennsylvania,"13,002,700","12,702,379","12,281,054","11,881,643","11,863,895"
Rhode Island,"1,097,379","1,052,567","1,048,319","1,003,464","947,154"
South Carolina,"5,118,425","4,625,364","4,012,012","3,486,703","3,121,820"
South Dakota,"886,667","814,180","754,844","696,004","690,768"
Tennessee,"6,910,840","6,346,105","5,689,283","4,877,185","4,591,120"
Texas,"29,145,505","25,145,561","20,851,820","16,986,510","14,229,191"
Utah,"3,271,616","2,763,885","2,233,169","1,722,850","1,461,037"
Vermont,"643,077","625,741","608,827","562,758","511,456"
Virginia,"8,631,393","8,001,024","7,078,515","6,187,358","5,346,818"
Washington,"7,705,281","6,724,540","5,894,121","4,866,692","4,132,156"
West Virginia,"1,793,716","1,852,994","1,808,344","1,793,477","1,949,644"
Wisconsin,"5,893,718","5,686,986","5,363,675","4,891,769","4,705,767"
Wyoming,"576,851","563,626","493,782","453,588","469,557"
United States1,"331,449,281","308,745,538","281,421,906","248,709,873","226,545,805"
Northeast Region,"57,609,148","55,317,240","53,594,378","50,809,229","49,135,283"
Midwest Region,"68,985,454","66,927,001","64,392,776","59,668,632","58,865,670"
South Region,"126,266,107","114,555,744","100,236,820","85,445,930","75,372,362"
West Region,"78,588,572","71,945,553","63,197,932","52,786,082","43,172,490"
Puerto Rico,"3,285,874","3,725,789","3,808,610","3,522,037","3,196,520"
"Note:     1 Includes the resident population of the 50 states and the District of Columbia, as ascertained by the Decennial Census.",,,,,
Page 1 of 3,,,,,
