"station","water_year","swe_max"
"Agua Canyon","WY_2021",4.1
"Agua Canyon","WY_2022",3.6
"Agua Canyon","WY_2023",21.6
"Atwater","WY_2023",76.4
"Bear River RS","WY_2021",8.9
"Bear River RS","WY_2022",7.3
"Bear River RS","WY_2023",15.8
"Beaver Dams","WY_2021",8.4
"Beaver Dams","WY_2022",6.6
"Beaver Dams","WY_2023",20.2
"Beaver Divide","WY_2021",8.7
"Beaver Divide","WY_2022",9.5
"Beaver Divide","WY_2023",22
"Ben Lomond Peak","WY_2021",26.5
"Ben Lomond Peak","WY_2022",16.4
"Ben Lomond Peak","WY_2023",82.8
"Ben Lomond Trail","WY_2021",11.3
"Ben Lomond Trail","WY_2022",6.3
"Ben Lomond Trail","WY_2023",47
"Bevans Cabin","WY_2021",3.2
"Bevans Cabin","WY_2022",1
"Bevans Cabin","WY_2023",15.8
"Big Flat","WY_2021",13.6
"Big Flat","WY_2022",19.9
"Big Flat","WY_2023",36.6
"Black Flat U M","WY_2021",10.7
"Black Flat U M","WY_2022",6.3
"Black Flat U M","WY_2023",17.5
"Blacks Fork Jct","WY_2021",7.9
"Blacks Fork Jct","WY_2022",7.6
"Blacks Fork Jct","WY_2023",15.2
"Bobs Hollow","WY_2021",14
"Bobs Hollow","WY_2022",11.7
"Bobs Hollow","WY_2023",26.6
"Box Creek","WY_2021",6.8
"Box Creek","WY_2022",5.5
"Box Creek","WY_2023",13.3
"Box Springs","WY_2021",6
"Box Springs","WY_2022",4.3
"Box Springs","WY_2023",14.5
"Brian Head","WY_2021",14.3
"Brian Head","WY_2022",15.5
"Brian Head","WY_2023",34.1
"Brighton","WY_2021",16.3
"Brighton","WY_2022",14.5
"Brighton","WY_2023",42.5
"Brown Duck","WY_2021",14.2
"Brown Duck","WY_2022",18.7
"Brown Duck","WY_2023",27.5
"Buck Flat","WY_2021",12
"Buck Flat","WY_2022",12.3
"Buck Flat","WY_2023",28.5
"Buck Pasture","WY_2021",13.1
"Buck Pasture","WY_2022",13.4
"Buck Pasture","WY_2023",22
"Buckboard Flat","WY_2021",13
"Buckboard Flat","WY_2022",10.7
"Buckboard Flat","WY_2023",28.1
"Bug Lake","WY_2021",14.8
"Bug Lake","WY_2022",17
"Bug Lake","WY_2023",31.8
"Burts Miller Ranch","WY_2021",6.7
"Burts Miller Ranch","WY_2022",5.4
"Burts Miller Ranch","WY_2023",11.8
"Camp Jackson","WY_2021",10.6
"Camp Jackson","WY_2022",7.4
"Camp Jackson","WY_2023",32.5
"Cascade Mountain","WY_2021",14.2
"Cascade Mountain","WY_2022",9.3
"Cascade Mountain","WY_2023",42.7
"Castle Valley","WY_2021",9.7
"Castle Valley","WY_2022",9.8
"Castle Valley","WY_2023",27.2
"Chalk Creek","WY_2021",16.1
"Chalk Creek","WY_2022",20.2
"Chalk Creek","WY_2023",35.8
"Chepeta","WY_2021",10.6
"Chepeta","WY_2022",11.3
"Chepeta","WY_2023",22.5
"Clayton Springs","WY_2021",8
"Clayton Springs","WY_2022",8.6
"Clayton Springs","WY_2023",21.9
"Clear Creek","WY_2021",13.7
"Clear Creek","WY_2022",13.3
"Clear Creek","WY_2023",34.8
"Corral","WY_2021",4.8
"Corral","WY_2022",6.7
"Corral","WY_2023",20.9
"Currant Creek","WY_2021",6.6
"Currant Creek","WY_2022",6.9
"Currant Creek","WY_2023",24
"Daniels Strawberry","WY_2021",10
"Daniels Strawberry","WY_2022",9.9
"Daniels Strawberry","WY_2023",30.2
"Dills Camp","WY_2021",9.4
"Dills Camp","WY_2022",7.9
"Dills Camp","WY_2023",22.7
"Donkey Reservoir","WY_2021",6.8
"Donkey Reservoir","WY_2022",6.2
"Donkey Reservoir","WY_2023",12.1
"Dry Bread Pond","WY_2021",14.3
"Dry Bread Pond","WY_2022",15.4
"Dry Bread Pond","WY_2023",35.5
"Dry Fork","WY_2021",13.2
"Dry Fork","WY_2022",8.1
"Dry Fork","WY_2023",26.8
"EF Blacks Fork GS","WY_2021",12.6
"EF Blacks Fork GS","WY_2022",7.8
"EF Blacks Fork GS","WY_2023",15.6
"East Willow Creek","WY_2021",8.9
"East Willow Creek","WY_2022",8.6
"East Willow Creek","WY_2023",22.5
"Farmington","WY_2021",24.5
"Farmington","WY_2022",24.5
"Farmington","WY_2023",70.1
"Farmington Lower","WY_2021",15
"Farmington Lower","WY_2022",8.6
"Farmington Lower","WY_2023",56.2
"Farnsworth Lake","WY_2021",17.4
"Farnsworth Lake","WY_2022",20.8
"Farnsworth Lake","WY_2023",28.1
"Fish Lake Utah","WY_2021",8.3
"Fish Lake Utah","WY_2022",9.1
"Fish Lake Utah","WY_2023",16.6
"Five Points Lake","WY_2021",12.6
"Five Points Lake","WY_2022",14.3
"Five Points Lake","WY_2023",27.2
"GBRC HQ","WY_2021",11.8
"GBRC HQ","WY_2022",11.4
"GBRC HQ","WY_2023",26.2
"GBRC Meadows","WY_2021",17.7
"GBRC Meadows","WY_2022",25.1
"GBRC Meadows","WY_2023",37.8
"Garden City Summit","WY_2021",13
"Garden City Summit","WY_2022",16
"Garden City Summit","WY_2023",34.3
"Gardner Peak","WY_2021",7
"Gardner Peak","WY_2022",4.2
"Gardner Peak","WY_2023",23.6
