"station","swe_max"
"Agua Canyon",4.1
"Bear River RS",8.9
"Beaver Dams",8.4
"Beaver Divide",8.7
"Ben Lomond Peak",26.5
"Ben Lomond Trail",11.3
"Bevans Cabin",3.2
"Big Flat",13.6
"Black Flat U M",10.7
"Blacks Fork Jct",7.9
"Bobs Hollow",14
"Box Creek",6.8
"Box Springs",6
"Brian Head",14.3
"Brighton",16.3
"Brown Duck",14.2
"Buck Flat",12
"Buck Pasture",13.1
"Buckboard Flat",13
"Bug Lake",14.8
"Burts Miller Ranch",6.7
"Camp Jackson",10.6
"Cascade Mountain",14.2
"Castle Valley",9.7
"Chalk Creek",16.1
"Chepeta",10.6
"Clayton Springs",8
"Clear Creek",13.7
"Corral",4.8
"Currant Creek",6.6
"Daniels Strawberry",10
"Dills Camp",9.4
"Donkey Reservoir",6.8
"Dry Bread Pond",14.3
"Dry Fork",13.2
"EF Blacks Fork GS",12.6
"East Willow Creek",8.9
"Farmington",24.5
"Farmington Lower",15
"Farnsworth Lake",17.4
"Fish Lake Utah",8.3
"Five Points Lake",12.6
"GBRC HQ",11.8
"GBRC Meadows",17.7
"Garden City Summit",13
"Gardner Peak",7
"George Creek",15.2
"Gooseberry RS",4.9
"Gooseberry RS Up",8.1
"Gutz Peak",0.4
"Hardscrabble",14.9
"Hayden Fork",12.8
"Hewinta",12.1
"Hickerson Park",10.2
"Hobble Creek",7.6
"Hole in Rock",8.6
"Horse Ridge",12.8
"Huntington Horse",18.2
"Jones Corral",7.8
"Kilfoil Creek",8.7
"Kimberly Mine",14.7
"Kings Cabin",6.6
"Klondike Narrows",15.1
"Kolob",13.1
"Lakefork",9.3
"Lakefork Basin",19
"Lasal Mountain",12.2
"Lasal Mountain Lower",7.9
"Lightning Ridge",13.2
"Lily Lake",10.9
"Little Bear",4.6
"Little Grassy",0.3
"Lonesome Beaver",6.3
"Long Flat",2.3
"Lookout Peak",24.6
"Lost Creek Resv",0.3
"Louis Meadow",15.2
"Mammoth Cottonwood",13.5
"Merchant Valley",10.6
"Midway Valley",15
"Mill D North",21
"Mining Fork",17.5
"Monte Cristo",18.8
"Mosby Mtn",9
"Mt Baldy",19.8
"Mt Pennell",3.9
"Oak Creek",8.2
"Panguitch Lake RS",1
"Parleys Summit",14.8
"Parleys Upper",18
"Parrish Creek",18.5
"Payson R S",11.5
"Pickle Keg",13.8
"Pine Creek",18.4
"Red Pine Ridge",11
"Redden Mine Lwr",11.5
"Rees Flat",9.1
"Rock Creek",6.1
"Rocky Basin Settleme",19.7
"Santaquin Meadows",14.2
"Seeley Creek",9.7
"Smith",8.8
"Snowbird",32.7
"Spirit Lk",12.7
"Steel Creek Park",16.1
"Strawberry Divide",10
"Sunflower Flat",8.3
"Suu Ranch",7.1
"Takka Wiiya",12.4
"Temple Fork",11.7
"Thaynes Canyon",16.6
"Thistle Flat",11.1
"Timberline",6.9
"Timpanogos Divide",12.7
"Tony Grove Lake",26.4
"Tony Grove RS",4.7
"Trial Lake",17.6
"Trout Creek",8.3
"Upper Joes Valley",7.4
"Usu Doc Daniel",20.4
"Vernon Creek",9.5
"Webster Flat",9.9
"White River",7.7
"Widtsoe",9.5
"Wilbur Bench",8.9
"Wolf Creek Peak",17.7
"Wrigley Creek",9.6
"Yankee Reservoir",7.3
